state_abbr,state_name,population_2023,fatalities_2023,fatalities_2022,alcohol_pct_2023,alcohol_pct_2022,speeding_pct_2023,speeding_pct_2022,unrestrained_pct_2023,unrestrained_pct_2022
AL,Alabama,5108468,974,988,29,28,24.1,24.3,39.1,36.6
AK,Alaska,733406,60,82,25,24,40.0,37.8,23.3,20.7
AZ,Arizona,7431344,1304,1302,33,35,32.6,33.1,19.5,20.6
AR,Arkansas,3067732,596,643,26,24,19.6,22.2,26.8,29.2
CA,California,38965193,4061,4428,33,33,32.1,31.7,19.2,19.0
CO,Colorado,5877610,720,764,30,34,35.7,38.1,29.0,29.7
CT,Connecticut,3617176,308,359,37,35,33.8,32.0,23.1,20.6
DE,Delaware,1031890,135,162,29,30,33.3,34.0,23.7,21.6
DC,District of Columbia,678972,44,32,32,39,36.4,40.6,29.5,12.5
FL,Florida,22610726,3396,3530,25,27,10.3,10.9,20.7,22.0
GA,Georgia,11029227,1615,1797,27,28,21.6,23.5,28.7,28.8
HI,Hawaii,1435138,93,116,42,31,58.1,41.4,16.1,13.8
ID,Idaho,1964726,275,215,22,32,21.8,21.9,30.2,37.7
IL,Illinois,12549689,1241,1268,32,37,35.1,32.6,20.5,21.6
IN,Indiana,6862199,898,949,28,29,27.7,30.6,24.7,24.1
IA,Iowa,3207004,377,338,37,34,23.1,21.9,28.4,30.2
KS,Kansas,2940546,387,410,32,27,20.2,23.2,34.1,34.6
KY,Kentucky,4526154,814,744,24,24,14.6,17.6,31.9,34.1
LA,Louisiana,4573749,811,906,29,29,29.6,23.2,33.0,30.9
ME,Maine,1395722,135,182,27,34,28.9,29.1,46.7,35.7
MD,Maryland,6180253,621,564,28,37,30.1,31.2,20.6,26.6
MA,Massachusetts,7001399,343,434,34,28,32.9,26.7,27.4,31.6
MI,Michigan,10037261,1094,1124,26,27,27.2,26.9,19.7,20.5
MN,Minnesota,5737915,409,444,24,29,28.4,29.5,19.6,17.6
MS,Mississippi,2939690,732,703,21,24,19.1,19.8,29.5,28.0
MO,Missouri,6196156,991,1057,29,27,37.4,35.5,35.7,34.3
MT,Montana,1132812,208,213,34,34,37.0,32.4,40.4,38.5
NE,Nebraska,1978379,227,244,31,28,20.3,19.7,43.6,34.8
NV,Nevada,3194176,389,416,31,34,22.6,25.2,15.7,19.7
NH,New Hampshire,1402054,130,146,27,36,23.1,36.3,32.3,35.6
NJ,New Jersey,9290841,606,685,23,26,31.4,25.3,19.3,20.4
NM,New Mexico,2114371,437,466,27,33,30.0,39.7,25.2,30.5
NY,New York,19571216,1114,1175,29,32,31.1,34.2,16.4,17.3
NC,North Carolina,10835491,1561,1630,27,28,40.5,40.5,30.4,31.0
ND,North Dakota,783926,106,98,36,34,22.6,27.6,31.1,39.8
OH,Ohio,11785935,1242,1275,37,37,20.5,21.3,28.2,31.5
OK,Oklahoma,4053824,718,710,25,26,32.0,22.4,28.0,30.8
OR,Oregon,4233358,587,601,34,39,32.4,35.8,18.9,18.0
PA,Pennsylvania,12961683,1211,1179,27,29,40.5,38.8,25.9,28.3
RI,Rhode Island,1095962,71,52,33,43,45.1,48.1,28.2,36.5
SC,South Carolina,5373555,1047,1094,39,43,39.0,36.7,32.6,34.3
SD,South Dakota,919318,140,137,27,32,24.3,34.3,35.7,35.8
TN,Tennessee,7126489,1323,1314,28,28,19.9,16.7,26.1,33.3
TX,Texas,30503301,4291,4408,40,42,34.6,34.5,26.0,26.7
UT,Utah,3417734,280,319,21,22,33.2,35.1,23.9,26.6
VT,Vermont,647464,69,76,26,34,27.5,26.3,36.2,35.5
VA,Virginia,8715698,913,1008,29,30,35.2,29.7,36.9,37.0
WA,Washington,7812880,810,733,36,35,31.1,34.1,21.1,20.9
WV,West Virginia,1770071,260,264,22,23,32.7,27.3,27.3,32.2
WI,Wisconsin,5910955,583,596,31,29,31.7,28.7,23.7,27.0
WY,Wyoming,584057,144,134,25,30,39.6,44.8,33.3,45.5
